n,case,mode,safety_profile,strategy,converged,iterations,relative_residual,asymptotic_contraction,elapsed_seconds,setup_seconds,solve_seconds,work_units,safety_work_units,nn_calls,transfer_nn_calls,smoother_nn_calls,detector_nn_calls,selector_nn_calls,nn_seconds,matvec_count,true_residual_points,mean_gate,fallback_count,selected_strategy,hierarchy_rebuilds,active_patch_fraction,active_cell_fraction,alpha_count,alpha_mean,alpha_median,alpha_p10,alpha_p90,alpha_zero_fraction,alpha_active_fraction,relative_solution_error
63,local_patch,nn_smoother,raw,jacobi_bilinear_full,False,3,0.011564526189757169,0.22613925026891207,0.06751769200036506,0.012571434000165027,0.05494625800020003,22.240773454285033,0.0,24,0,24,0,0,0.04283076300089306,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.11953170918861825
63,local_patch,learned_transfer,raw,jacobi_bilinear_full,False,3,0.00976287861615626,0.21372695412125958,0.10513342500053113,0.09794946600050025,0.007183959000030882,67.41709238481738,0.0,4,4,0,0,0,0.010996445000273525,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.11951818294396899
63,local_patch,combined,raw,jacobi_bilinear_full,False,3,0.011620261952140807,0.22650196433566994,0.17459511000015482,0.07840013700024429,0.09619497299991053,67.41709238481738,0.0,28,4,24,0,0,0.09477848400092626,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.11952518535145422
63,local_patch,adaptive,raw,jacobi_bilinear_full,False,3,0.009720997409778463,0.2134208977731534,0.1007962290004798,0.005013664000216522,0.09578256500026328,31.246073048460254,0.0,24,0,0,24,0,0.03846563400111336,64,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,0,,,,,,0.0,0.11952895061997353
63,local_patch,adaptive,safe,jacobi_bilinear_full,False,3,0.009720997409778463,0.2134208977731534,0.11271415500050352,0.0174730440003259,0.09524111100017763,55.48684650274529,24.240773454285033,24,0,0,24,0,0.03854262200638914,106,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,24,0.0,0.0,0.0,0.0,1.0,0.0,0.11952895061997353
63,checkerboard,classical,raw,jacobi_bilinear_full,False,3,0.31816467688472855,0.6826802213914668,0.01917863499966188,0.014643700000306126,0.004534934999355755,21.258224175449076,0.0,0,0,0,0,0,0.0,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.21887576872591494
63,checkerboard,nn_smoother,raw,jacobi_bilinear_full,False,3,0.5748692168676846,0.831488699455884,0.12146616400059429,0.014926599000318674,0.10653956500027562,21.258224175449076,0.0,24,0,24,0,0,0.09432386800108361,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.2269100720161264
63,checkerboard,learned_transfer,raw,jacobi_bilinear_full,False,3,0.3184798380674508,0.6829055588970745,0.08256867699947179,0.07656204399972921,0.006006632999742578,61.631053462473865,0.0,4,4,0,0,0,0.008994899998469919,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.2194374012104834
63,checkerboard,combined,raw,jacobi_bilinear_full,False,3,0.5753523782753893,0.8317215818460337,0.18406758699984493,0.10137435700016795,0.08269322999967699,61.631053462473865,0.0,28,4,24,0,0,0.09673071199722472,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.22772397432051839
63,checkerboard,adaptive,raw,jacobi_bilinear_full,False,3,0.31816467688472855,0.6826802213914668,0.13352221500008454,0.00860280100005184,0.1249194140000327,29.943977471519393,0.0,24,0,0,24,0,0.05624619799800712,64,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,0,,,,,,0.0,0.21887576872591494
63,checkerboard,adaptive,safe,jacobi_bilinear_full,False,3,0.31816467688472855,0.6826802213914668,0.16087326900014887,0.021036662999904365,0.1398366060002445,53.20220164696847,23.258224175449076,24,0,0,24,0,0.05735688900404057,106,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,24,0.0,0.0,0.0,0.0,1.0,0.0,0.21887576872591494
63,channel,classical,raw,jacobi_bilinear_full,False,3,0.03960184994830548,0.3408566918116612,0.026097322999703465,0.019143703999361605,0.00695361900034186,22.261999330047374,0.0,0,0,0,0,0,0.0,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.039235508758603765
63,channel,nn_smoother,raw,jacobi_bilinear_full,False,3,0.043893804421079326,0.3527505839812319,0.0623392600009538,0.01406151300034253,0.04827774700061127,22.261999330047374,0.0,24,0,24,0,0,0.03725650700198457,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.038854746562638466
63,channel,learned_transfer,raw,jacobi_bilinear_full,False,3,0.039622075972785976,0.34091471100720727,0.0579146550007863,0.05200736900042102,0.005907286000365275,67.54208738096378,0.0,4,4,0,0,0,0.005245726998509781,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.03933773274826799
63,channel,combined,raw,jacobi_bilinear_full,False,3,0.04397520451832204,0.3529685053993443,0.11529308399985894,0.06622212799993576,0.04907095599992317,67.54208738096378,0.0,28,4,24,0,0,0.0396190410001509,40,4,0.0,0,jacobi_bilinear_full,0,0.0,0.0,0,,,,,,0.0,0.03895682170476639
63,channel,adaptive,raw,jacobi_bilinear_full,False,3,0.03960184994830548,0.3408566918116612,0.10864866100018844,0.0045231120002426906,0.10412554899994575,31.27420203857013,0.0,24,0,0,24,0,0.0448436069964373,64,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,0,,,,,,0.0,0.039235508758603765
63,channel,adaptive,safe,jacobi_bilinear_full,False,3,0.03960184994830548,0.3408566918116612,0.15540675500051293,0.024296319000313815,0.13111043600019912,55.536201368617505,24.261999330047374,24,0,0,24,0,0.057046756001000176,106,4,0.0,0,jacobi_bilinear_full,4,0.0,0.0,24,0.0,0.0,0.0,0.0,1.0,0.0,0.039235508758603765
